x1, y1, x2, y2,dx,dy
1666,289,1666,289
1670,315,1670,315
1459,89,1459,89
1150,356,1150,356
403,61,403,61
1040,373,1040,373
822,632,822,632
1159,344,1159,344
1615,235,1615,235
1584,248,1584,248
1600,246,1600,246
1399,10,1399,10
712,34,712,34
1133,387,1133,387
1148,398,1148,398
580,349,580,349
551,147,551,147
899,190,899,190
1373,12,1373,12
1426,29,1426,29
1487,91,1487,91
899,760,899,760
1662,156,1662,156
339,163,339,163
324,171,324,171
779,205,779,205
1666,341,1666,341
1647,421,1647,421
1688,202,1688,202
1644,480,1644,480
1677,502,1677,502
1624,214,1624,214
1669,215,1669,215
1325,35,1325,35
1595,220,1595,220
1433,39,1433,39
1436,60,1436,60
1394,61,1394,61
375,99,375,99
363,104,363,104
471,109,471,109
437,106,437,106
362,118,362,118
1418,41,1418,41
1502,179,1502,179
1398,47,1398,47
1488,179,1488,179
1379,55,1379,55
1401,34,1401,34
1334,47,1334,47
1372,47,1372,47
1553,95,1553,95
1779,385,1779,385
1513,102,1513,102
851,282,851,282
832,382,832,382
417,210,417,210
1672,199,1672,199
1572,203,1572,203
1464,111,1464,111
765,170,765,170
574,451,574,451
407,25,407,25
1595,458,1595,458
1942,1029,1942,1029
331,133,331,133
1394,201,1394,201
1342,217,1342,217
1469,21,1469,21
1514,22,1514,22
600,429,600,429
511,352,511,352
586,434,586,434
871,161,871,161
384,108,384,108
1504,190,1504,190
958,189,958,189
1188,555,1188,555
1172,562,1172,562
821,467,821,467
935,725,935,725
1632,299,1632,299
1166,510,1166,510
1150,523,1150,523
1136,413,1136,413
1715,432,1715,432
1524,126,1524,126
1275,143,1275,143
1526,207,1526,207
836,329,836,329
829,926,829,926
244,36,244,36
327,46,327,46
1558,201,1558,201
1648,201,1648,201
1753,375,1753,375
1707,379,1707,379
1975,833,1975,833
1582,432,1582,432
848,290,848,290
818,428,818,428
613,319,613,319
1454,56,1454,56
1363,225,1363,225
1437,227,1437,227
1395,227,1395,227
1720,451,1720,451
1134,584,1134,584
654,593,654,593
1383,80,1383,80
815,149,815,149
736,656,736,656
1023,428,1023,428
903,216,903,216
1148,415,1148,415
1145,432,1145,432
730,548,730,548
1567,464,1567,464
1573,470,1573,470
563,313,563,313
1420,103,1420,103
1319,149,1319,149
1556,455,1556,455
1551,468,1551,468
622,632,622,632
1991,829,1991,829
748,710,748,710
1984,885,1984,885
1968,890,1968,890
1416,1260,1416,1260
1376,1264,1376,1264
799,935,799,935
1379,1274,1379,1274
604,1196,604,1196
776,707,776,707
643,121,643,121
588,451,588,451
1384,1225,1384,1225
1868,462,1868,462
1440,26,1440,26
1707,445,1707,445
1139,547,1139,547
1882,929,1882,929
635,453,635,453
1082,584,1082,584
1179,523,1179,523
1283,449,1283,449
1895,1067,1895,1067
1912,421,1912,421
1011,673,1011,673
496,355,496,355
1287,1337,1287,1337
1164,511,1164,511
1152,537,1152,537
1183,531,1183,531
867,816,867,816
1608,163,1608,163
1599,181,1599,181
1565,182,1565,182
474,1005,474,1005
1461,1191,1461,1191
1531,1207,1531,1207
703,909,703,909
720,688,720,688
1731,1239,1731,1239
1424,129,1424,129
873,1229,873,1229
847,1230,847,1230
1510,1203,1510,1203
856,880,856,880
843,883,843,883
1647,1229,1647,1229
1441,1290,1441,1290
1987,1015,1987,1015
1652,307,1652,307
836,916,836,916
807,917,807,917
1251,1265,1251,1265
1430,1267,1430,1267
1391,1269,1391,1269
1098,1112,1098,1112
783,940,783,940
577,1244,577,1244
1111,1275,1111,1275
1024,978,1024,978
1759,1211,1759,1211
890,1226,890,1226
924,1082,924,1082
931,1151,931,1151
879,1160,879,1160
1946,1345,1946,1345
899,1168,899,1168
472,1288,472,1288
456,1290,456,1290
863,867,863,867
1282,1340,1282,1340
1008,1259,1008,1259
996,1270,996,1270
1484,1208,1484,1208
1418,1261,1418,1261
1388,1264,1388,1264
848,1271,848,1271
1501,1221,1501,1221
1482,1227,1482,1227
1483,1244,1483,1244
1787,1246,1787,1246
1817,1281,1817,1281
1829,1283,1829,1283
1862,1304,1862,1304
1771,1345,1771,1345
931,1328,931,1328
1723,1368,1723,1368
1084,901,1084,901
1733,1202,1733,1202
1700,1310,1700,1310
1779,1325,1779,1325
1701,1333,1701,1333
609,1217,609,1217
1187,1287,1187,1287
1097,1292,1097,1292
1650,1189,1650,1189
1571,1205,1571,1205
1587,1206,1587,1206
856,1249,856,1249
1877,1407,1877,1407
1579,190,1579,190
1286,1360,1286,1360
1844,1226,1844,1226
1325,1359,1325,1359
1828,1231,1828,1231
1811,1235,1811,1235
1751,1410,1751,1410
1808,1259,1808,1259
1522,1253,1522,1253
1542,1257,1542,1257
1795,1281,1795,1281
1775,1307,1775,1307
1726,1308,1726,1308
1429,1255,1429,1255
1428,1267,1428,1267
1449,1231,1449,1231
1440,1245,1440,1245
485,999,485,999
1892,1379,1892,1379
1869,1390,1869,1390
1811,1403,1811,1403
1766,1239,1766,1239
797,936,797,936
771,944,771,944
594,1214,594,1214
624,1161,624,1161
1271,1365,1271,1365
1767,1376,1767,1376
1692,1403,1692,1403
1960,1366,1960,1366
837,1267,837,1267
815,1272,815,1272
1497,1239,1497,1239
1415,1280,1415,1280
1748,1219,1748,1219
1778,1233,1778,1233
984,1264,984,1264
1749,1237,1749,1237
1797,1234,1797,1234
1292,1383,1292,1383
1307,1393,1307,1393
1284,1405,1284,1405
1983,1396,1983,1396
1711,1288,1711,1288
1737,1359,1737,1359
1684,1364,1684,1364
1708,1371,1708,1371
1971,1425,1971,1425
1693,1376,1693,1376
1791,1392,1791,1392
1038,1402,1038,1402
775,1309,775,1309
1381,1342,1381,1342
1134,1283,1134,1283
824,1263,824,1263
1116,1295,1116,1295
808,1264,808,1264
1179,1300,1179,1300
1264,1363,1264,1363
755,1292,755,1292
828,1301,828,1301
1955,1026,1955,1026
1311,1374,1311,1374
1264,1388,1264,1388
1423,1198,1423,1198
1812,1327,1812,1327
985,1282,985,1282
968,1287,968,1287
1386,1293,1386,1293
1579,1223,1579,1223
1724,1292,1724,1292
882,1413,882,1413
1772,1294,1772,1294
1711,1305,1711,1305
1751,1988,1751,1988
1387,1313,1387,1313
1375,1319,1375,1319
1972,1263,1972,1263
1426,1360,1426,1360
1393,1367,1393,1367
1341,1371,1341,1371
1959,1224,1959,1224
1388,1295,1388,1295
1258,1309,1258,1309
1824,1388,1824,1388
1192,1988,1192,1988
1764,1229,1764,1229
1831,1369,1831,1369
1880,1368,1880,1368
1825,1324,1825,1324
1011,1260,1011,1260
1760,1389,1760,1389
1717,1388,1717,1388
1865,1367,1865,1367
1856,1397,1856,1397
1475,1191,1475,1191
1463,1206,1463,1206
1915,1347,1915,1347
1877,1350,1877,1350
1859,1361,1859,1361
1848,1367,1848,1367
1373,1383,1373,1383
1226,1993,1226,1993
1732,1256,1732,1256
1761,1261,1761,1261
1796,1263,1796,1263
1772,1270,1772,1270
1728,1270,1728,1270
1403,1323,1403,1323
1414,1328,1414,1328
1376,1317,1376,1317
839,1264,839,1264
852,1272,852,1272
1746,1382,1746,1382
1255,1402,1255,1402
1776,1208,1776,1208
1025,1423,1025,1423
1009,1430,1009,1430
1122,1993,1122,1993
1096,1322,1096,1322
1920,1883,1920,1883
1816,1788,1816,1788
1887,1859,1887,1859
1891,1840,1891,1840
1955,1858,1955,1858
1984,1865,1984,1865
1950,1876,1950,1876
1964,1882,1964,1882
1711,1826,1711,1826
1268,1346,1268,1346
1881,1934,1881,1934
1940,1851,1940,1851
1767,1360,1767,1360
1715,1359,1715,1359
1772,1800,1772,1800
1832,1805,1832,1805
1358,1992,1358,1992
1930,1869,1930,1869
1724,1931,1724,1931
1936,1888,1936,1888
1236,1959,1236,1959
